2024-11-15 16:23:51 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 16:27:02 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 16:37:34 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 16:38:41 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 16:47:07 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 16:54:47 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 17:06:17 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 17:11:50 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 17:14:47 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 17:17:37 [main] INFO  GetVideosForHomeMapper - Starting GetVideosForHomeResponsValidation method
2024-11-15 17:20:52 [main] INFO  ViewAssignmentsFormMpper - Starting validation of current semester assignments...
2024-11-15 17:20:53 [main] WARN  ViewAssignmentsFormMpper - Field failSubjectsCount is present in POJO but missing in the JSON response.
2024-11-15 17:20:53 [main] WARN  ViewAssignmentsFormMpper - Field currentSemEndDateTime is present in POJO but missing in the JSON response.
2024-11-15 17:20:53 [main] WARN  ViewAssignmentsFormMpper - Field failSubjectSubmissionCount is present in POJO but missing in the JSON response.
2024-11-15 17:20:53 [main] WARN  ViewAssignmentsFormMpper - Field failSubjectsEndDateTime is present in POJO but missing in the JSON response.
2024-11-15 17:20:53 [main] INFO  ViewAssignmentsFormMpper - Validation of Assignment Files List completed.
